iter	RMSE
0	1.149875739
1	1.129738406
2	1.109935265
3	1.090579798
4	1.07159905
5	1.052885208
6	1.034417098
7	1.01642258
8	0.9989764239
9	0.9817125352
10	0.964653958
11	0.9481559319
12	0.9318078631
13	0.9158015901
14	0.900056499
15	0.8845135329
16	0.8692608256
17	0.854304865
18	0.8398123984
19	0.8254030542
20	0.811454998
21	0.7977223682
22	0.7843026358
23	0.7711058697
24	0.7581515683
25	0.7454785842
26	0.7331169673
27	0.7209232453
28	0.7089829619
29	0.6972142407
30	0.6857945311
31	0.6745244669
32	0.6633392979
33	0.6525486242
34	0.6418184029
35	0.6313953661
36	0.6211398227
37	0.6110924742
38	0.6011848578
39	0.5914935266
40	0.582114388
41	0.5727978552
42	0.563831847
43	0.5549087327
44	0.5461313285
45	0.5374780517
46	0.529169436
47	0.5209028421
48	0.5127796719
49	0.5048256864
50	0.4970010248
51	0.4894487515
52	0.4820450765
53	0.4747159213
54	0.4675126942
55	0.4604762764
56	0.4535259399
57	0.4468536444
58	0.4402490707
59	0.433723934
60	0.427386939
61	0.4213142127
62	0.4152365452
63	0.4092995443
64	0.403405499
65	0.3977780904
66	0.3921756537
67	0.3866589886
68	0.3813360959
69	0.3760617431
70	0.370894962
71	0.3659421493
72	0.3609446631
73	0.3561123825
74	0.3514840581
75	0.3468759644
76	0.3422834863
77	0.3378885252
78	0.3335700395
79	0.3292558115
80	0.3250927317
81	0.3210784739
82	0.3170636278
83	0.313167758
84	0.3093264412
85	0.3055876633
86	0.3019782497
87	0.2983906956
88	0.2948582258
89	0.2914463056
90	0.2881047831
91	0.2849211277
92	0.2816687832
93	0.2785156151
94	0.2754161825
95	0.2724059333
96	0.2694427767
97	0.2665757602
98	0.2637595622
99	0.2611101801
100	0.2584042482
101	0.2557451019
102	0.2532448168
103	0.250869132
104	0.2484038329
105	0.245954997
106	0.2435566877
107	0.2412595299
108	0.2390030923
109	0.2368159406
110	0.2346700754
111	0.2325564172
112	0.2305117281
113	0.2285119945
114	0.2265366396
115	0.2246160598
116	0.2227655396
117	0.2209117314
118	0.219145786
119	0.2173955568
120	0.2156697932
121	0.2139962127
122	0.2123421737
123	0.2107209896
124	0.209169853
125	0.2076938434
126	0.2062356149
127	0.2048712468
128	0.2034594358
129	0.2020715032
130	0.2007333158
131	0.1994355202
132	0.1981312583
133	0.1968785553
134	0.1956313331
135	0.1944222982
136	0.1932509867
137	0.1920861416
138	0.190973459
139	0.1898585647
140	0.1887473358
141	0.1876638952
142	0.1866255652
143	0.185584633
144	0.1845816768
145	0.1836372993
146	0.1826835614
147	0.1817893294
148	0.1809124277
149	0.1800248999
150	0.1791549774
151	0.1782452955
152	0.177425587
153	0.1766167876
154	0.1758333199
155	0.1750464044
156	0.1743079195
157	0.1735801865
158	0.172877153
159	0.172174337
160	0.1714889158
161	0.1708065283
162	0.1701586138
163	0.1695800167
164	0.1689748245
165	0.1683175208
166	0.1676964352
167	0.1670723478
168	0.1664935541
169	0.1659136148
170	0.1653683112
171	0.1648462765
172	0.1643147597
173	0.1637771979
174	0.1632758465
175	0.1627060812
176	0.1622071082
