iter	Passed	Remaining
0	12	3643
1	16	2420
2	20	2009
3	24	1797
4	28	1696
5	39	1930
6	43	1828
7	47	1738
8	52	1685
9	55	1616
10	67	1761
11	71	1708
12	75	1664
13	79	1618
14	83	1583
15	95	1686
16	99	1648
17	102	1609
18	106	1575
19	110	1543
20	121	1618
21	125	1587
22	129	1555
23	132	1525
24	136	1497
25	147	1557
26	151	1529
27	155	1506
28	158	1484
29	162	1463
30	173	1502
31	176	1478
32	180	1456
33	184	1440
34	187	1418
35	197	1446
36	201	1429
37	204	1411
38	208	1396
39	212	1380
40	223	1409
41	226	1393
42	230	1378
43	234	1363
44	238	1349
45	246	1362
46	251	1351
47	254	1337
48	258	1325
49	262	1312
50	270	1322
51	274	1309
52	277	1293
53	280	1279
54	284	1267
55	295	1288
56	299	1275
57	302	1263
58	306	1252
59	310	1240
60	321	1261
61	325	1250
62	329	1239
63	333	1229
64	337	1219
65	347	1232
66	351	1222
67	355	1211
68	359	1204
69	363	1195
70	371	1198
71	375	1190
72	378	1176
73	380	1163
74	384	1154
75	393	1158
76	398	1152
77	402	1145
78	406	1137
79	409	1125
80	420	1136
81	424	1127
82	428	1119
83	431	1110
84	435	1101
85	443	1102
86	446	1093
87	450	1086
88	454	1078
89	457	1067
90	463	1065
91	466	1054
92	470	1046
93	472	1036
94	475	1025
95	483	1026
96	487	1020
97	491	1012
98	495	1005
99	499	998
100	508	1002
101	512	995
102	516	988
103	520	981
104	524	973
105	531	972
106	535	966
107	538	956
108	542	950
109	544	940
110	553	942
111	555	932
112	559	926
113	563	919
114	567	912
115	575	912
116	578	904
117	582	898
118	584	889
119	588	882
120	595	881
121	598	872
122	600	864
123	604	858
124	607	849
125	614	848
126	618	843
127	623	837
128	625	829
129	629	822
130	638	823
131	641	816
132	645	810
133	648	803
134	652	797
135	660	797
136	664	791
137	668	784
138	672	778
139	676	772
140	687	775
141	692	770
142	695	763
143	699	757
144	702	751
145	714	753
146	718	748
147	722	742
148	725	735
149	729	729
150	738	728
151	740	721
152	745	716
