iter	RMSE
0	0.9619979425
1	0.9536010032
2	0.9452830167
3	0.937069279
4	0.9289564302
5	0.9209173084
6	0.9129523284
7	0.9050692193
8	0.8973435286
9	0.889549223
10	0.8819482658
11	0.8743278508
12	0.8667662691
13	0.8593075986
14	0.852059286
15	0.8447540821
16	0.8375241549
17	0.8304184235
18	0.8233195681
19	0.8162931323
20	0.8094549763
21	0.8026841575
22	0.795898193
23	0.7891926406
24	0.7825864031
25	0.7760435552
26	0.7695843188
27	0.7631532202
28	0.7568093688
29	0.7504884546
30	0.7443119737
31	0.7381939371
32	0.7321083861
33	0.726085974
34	0.7201321706
35	0.7142244989
36	0.7083916334
37	0.7025569759
38	0.696840929
39	0.6911613844
40	0.6855171741
41	0.6799529404
42	0.6744366063
43	0.6689641978
44	0.6635614368
45	0.658224193
46	0.6529156087
47	0.6477081095
48	0.6425077998
49	0.6373821405
50	0.6322725748
51	0.6272661218
52	0.6223285307
53	0.6174351867
54	0.6126699395
55	0.6078789418
56	0.6031158284
57	0.5984036145
58	0.5937741452
59	0.5891852228
60	0.5846285682
61	0.5800798576
62	0.5755447491
63	0.5710783681
64	0.5667416339
65	0.5624343994
66	0.5581124962
67	0.5539142507
68	0.5497042194
69	0.5455750592
70	0.5414303229
71	0.5373451875
72	0.5333132617
73	0.5292588821
74	0.5252978936
75	0.5214335874
76	0.5175823528
77	0.5137446655
78	0.5099054426
79	0.5061194806
80	0.5023515454
81	0.4986838613
82	0.4949730546
83	0.491418297
84	0.4878292243
85	0.4842668584
86	0.4807819957
87	0.4773263589
88	0.4738956419
89	0.4705278337
90	0.4671853383
91	0.4638793099
92	0.4606036484
93	0.4574135332
94	0.4542228319
95	0.4510845751
96	0.4479290689
97	0.4448434456
98	0.4417887521
99	0.4387575693
100	0.4357869102
101	0.4327834687
102	0.4298333281
103	0.4268485952
104	0.423939679
105	0.4211134392
106	0.4182290331
107	0.4154470054
108	0.4126925444
109	0.4099441071
110	0.4072521783
111	0.4045704805
112	0.4019330295
113	0.3993035617
114	0.3966606169
115	0.3941346124
116	0.3915477386
117	0.3890469337
118	0.3865806377
119	0.3841160056
120	0.3816389857
121	0.3792326638
122	0.3768573403
123	0.3744962792
124	0.3721437524
125	0.3698600757
126	0.3675920276
127	0.3653688922
128	0.3631191426
129	0.3609156706
130	0.3587170929
131	0.3565518039
132	0.3544017932
133	0.3522410593
134	0.3500940161
135	0.3480463026
136	0.3459950968
137	0.3439666587
138	0.3419288301
139	0.339916757
140	0.3379538603
141	0.3360202176
142	0.3341146445
143	0.3321924724
144	0.3303164422
145	0.3283944239
146	0.3265494193
147	0.3246996047
148	0.3229132198
149	0.3211235056
150	0.3193425281
151	0.3175831923
152	0.315858614
153	0.3141323809
154	0.3124109222
155	0.3107380806
156	0.3090676341
157	0.3074461677
158	0.305821823
159	0.3042156248
160	0.3026275828
161	0.3010637063
162	0.2995099414
163	0.2979418027
164	0.2964137632
165	0.2949246077
166	0.2934423781
167	0.2919397536
168	0.2904872798
169	0.2890544128
170	0.2876536161
171	0.2862438259
172	0.2848235885
173	0.2834410033
174	0.282071741
175	0.2807278857
176	0.2794139978
177	0.2780948037
178	0.2768063284
179	0.2755304897
180	0.2742642543
181	0.273043041
182	0.2718058531
183	0.2705622215
184	0.2693312896
185	0.2681381605
186	0.2669433457
187	0.2657815799
188	0.2646079609
189	0.2634706709
190	0.2623351839
191	0.2612263634
192	0.2601169625
193	0.2590319905
194	0.2579808738
195	0.2568975232
196	0.2558311884
197	0.2547691544
198	0.2537442629
199	0.2526936796
200	0.2516888044
201	0.2506915985
202	0.2497329932
203	0.2487592227
204	0.2477907894
205	0.2468149542
206	0.2458428932
207	0.2448878402
208	0.2439658742
209	0.2430471631
210	0.2421473933
211	0.2412353625
212	0.2403464442
213	0.2394693688
214	0.2386032896
215	0.2377604765
216	0.2368950648
217	0.2360552658
218	0.2352141538
219	0.2343997586
220	0.2335888632
221	0.2327889797
222	0.2320029612
223	0.231223196
224	0.2304307107
225	0.2296575762
226	0.2288863384
227	0.2281235077
228	0.2273921798
229	0.2266460687
230	0.2259126546
231	0.2251875181
232	0.2244605844
233	0.223765421
234	0.2230616881
235	0.2223560296
236	0.2216664167
237	0.220992393
238	0.2203160558
239	0.2196507875
240	0.2189808692
241	0.2183280413
242	0.2176760475
243	0.2170407436
244	0.216422236
245	0.2158144902
246	0.2151917741
247	0.2145909349
248	0.2139915348
249	0.2133950202
250	0.2128090997
251	0.2122193983
252	0.2116338178
253	0.21106157
254	0.2104903215
255	0.2099372493
256	0.2093882082
257	0.2088451908
258	0.2083041023
259	0.2077758235
260	0.2072484977
261	0.2067165907
262	0.2061985933
263	0.2056887581
264	0.2051807815
265	0.204690905
266	0.2041977335
267	0.2037086552
268	0.2032245748
269	0.2027333286
270	0.2022515977
271	0.2017935491
272	0.2013204071
273	0.2008469197
274	0.2004016315
275	0.1999409338
276	0.1994918043
277	0.1990468381
278	0.1986048965
279	0.1981702212
280	0.1977361529
281	0.197309883
282	0.1969080499
283	0.1964909762
284	0.1960675817
285	0.1956576255
286	0.1952650215
287	0.1948697043
288	0.1944707957
289	0.194086304
290	0.1937148104
291	0.1933263048
292	0.1929508327
293	0.1925723278
294	0.1922056197
295	0.1918562761
296	0.1914893308
297	0.1911501534
298	0.1908031243
299	0.1904652424
300	0.1901049194
301	0.1897657714
302	0.1894087499
303	0.1890658016
304	0.1887555659
305	0.1884299386
306	0.1880948758
307	0.1877600147
308	0.1874441579
309	0.1871309846
310	0.1868081116
311	0.1865033496
312	0.1862216321
313	0.1859131022
314	0.185619481
315	0.1853039082
