iter	Passed	Remaining
0	26	26033
1	48	24137
2	66	22249
3	81	20403
4	104	20798
5	126	20992
6	151	21436
7	174	21644
8	199	21944
9	211	20959
10	235	21173
11	258	21287
12	277	21071
13	301	21225
14	319	20955
15	339	20857
16	357	20680
17	381	20810
18	400	20668
19	424	20792
20	447	20853
21	464	20643
22	483	20521
23	506	20588
24	525	20494
25	545	20434
26	568	20493
27	587	20405
28	610	20447
29	630	20376
30	647	20241
31	669	20250
32	692	20292
33	717	20380
34	735	20279
35	751	20130
36	773	20121
37	797	20191
38	816	20112
39	838	20121
40	861	20160
41	892	20347
42	914	20353
43	934	20303
44	956	20291
45	978	20285
46	1005	20381
47	1030	20435
48	1058	20552
49	1084	20597
50	1109	20637
51	1126	20532
52	1153	20603
53	1177	20630
54	1200	20625
55	1227	20690
56	1255	20764
57	1277	20743
58	1292	20616
59	1314	20588
60	1338	20609
61	1362	20616
62	1389	20668
63	1410	20622
64	1435	20645
65	1457	20625
66	1481	20636
67	1503	20601
68	1522	20541
69	1545	20536
70	1569	20531
71	1592	20530
72	1617	20544
73	1640	20523
74	1663	20511
75	1690	20553
76	1711	20519
77	1737	20543
78	1756	20482
79	1780	20475
80	1806	20492
81	1831	20507
82	1860	20552
83	1884	20545
84	1907	20534
85	1931	20531
86	1955	20525
87	1975	20475
88	2004	20516
89	2027	20498
90	2049	20472
91	2070	20439
92	2096	20445
93	2121	20444
94	2150	20485
95	2176	20495
96	2200	20487
97	2222	20456
98	2239	20381
99	2263	20369
100	2289	20382
101	2309	20332
102	2332	20311
103	2360	20340
104	2382	20304
105	2405	20285
106	2433	20305
107	2462	20335
108	2486	20326
109	2508	20292
110	2532	20284
111	2557	20281
112	2588	20320
113	2610	20290
114	2635	20284
115	2665	20311
116	2690	20308
117	2711	20270
118	2736	20262
119	2761	20248
120	2781	20208
121	2812	20240
122	2835	20218
123	2862	20223
124	2880	20161
125	2903	20141
126	2932	20156
127	2957	20146
128	2975	20091
129	3002	20090
130	3023	20059
131	3052	20072
132	3077	20063
133	3099	20033
134	3125	20029
135	3154	20039
136	3187	20076
137	3213	20071
138	3231	20014
139	3255	20001
140	3283	20003
141	3306	19976
142	3332	19972
143	3362	19988
144	3387	19975
145	3413	19966
146	3433	19922
147	3456	19896
148	3481	19882
149	3512	19905
150	3540	19907
151	3565	19892
152	3591	19883
153	3623	19906
154	3642	19857
155	3667	19842
156	3681	19769
157	3712	19783
158	3734	19755
159	3767	19781
160	3796	19782
161	3821	19769
162	3848	19761
163	3866	19709
164	3893	19705
165	3921	19704
166	3947	19688
167	3970	19661
168	3988	19612
169	4009	19574
170	4032	19550
171	4061	19553
172	4090	19552
173	4115	19536
174	4141	19522
175	4169	19523
176	4195	19506
177	4222	19501
178	4246	19478
179	4271	19459
180	4295	19435
181	4318	19411
182	4345	19398
183	4372	19390
184	4398	19377
185	4420	19347
186	4444	19323
187	4468	19301
188	4492	19277
189	4514	19244
190	4535	19211
191	4559	19188
192	4587	19180
193	4613	19168
194	4631	19118
195	4653	19090
196	4681	19081
197	4708	19071
198	4734	19058
199	4763	19053
200	4785	19024
201	4807	18990
202	4827	18955
203	4853	18938
204	4880	18927
205	4905	18905
206	4930	18888
207	4956	18871
208	4986	18873
209	5007	18839
210	5035	18830
211	5060	18810
212	5084	18785
213	5111	18775
214	5137	18757
215	5157	18718
216	5185	18710
217	5206	18675
218	5230	18652
219	5248	18606
220	5273	18588
221	5301	18579
222	5330	18572
223	5354	18548
224	5383	18542
225	5407	18518
226	5428	18487
227	5455	18471
228	5482	18457
229	5503	18423
230	5526	18398
231	5551	18378
232	5573	18347
233	5606	18353
234	5631	18332
235	5649	18287
236	5670	18255
237	5689	18215
238	5713	18191
239	5740	18178
240	5760	18140
241	5784	18119
242	5810	18101
243	5833	18075
244	5856	18046
245	5882	18030
246	5906	18006
247	5930	17983
248	5950	17946
